	sourceLang	targetLang	F1	precision	recall
0	fa	en	0.7428154349327087	0.7287040948867798	0.7572981715202332
1	ps	en	0.7228913307189941	0.7183972597122192	0.7276731133460999
2	es-419	en	0.8191400766372681	0.8030123114585876	0.8358152508735657
3	om	en	0.6476618647575378	0.6497659683227539	0.6453548073768616
4	zu	en	0.7738174200057983	0.7640411853790283	0.784013032913208
5	ms	en	0.8341948986053467	0.8235892057418823	0.845425009727478
6	so	en	0.3945389688014984	0.3896804749965668	0.39986419677734375
7	sw	en	0.7564027905464172	0.7472217679023743	0.7659794092178345
8	ru	en	0.72910076379776	0.7105928063392639	0.7479925751686096
9	ckb	en	0.6651045680046082	0.6683446168899536	0.6619204878807068
10	ne	en	0.8087161779403687	0.8004554510116577	0.8175395131111145
11	id	en	0.8114097714424133	0.7998970150947571	0.823380172252655
12	ar	en	0.7700785398483276	0.7547460794448853	0.7859287261962891
13	ur	en	0.7348843216896057	0.7255493402481079	0.7446717023849487
14	bn	en	0.7878265380859375	0.7768361568450928	0.7992962002754211
15	my	en	0.6788086891174316	0.6660764217376709	0.6917709708213806
16	ha	en	0.671886682510376	0.6701765656471252	0.6737232804298401
17	ta	en	0.7082679867744446	0.6878531575202942	0.7292575240135193
18	am	en	0.6915016770362854	0.6874994039535522	0.6958993673324585
19	mr	en	0.7487478256225586	0.741594135761261	0.7563141584396362
20	pt-BR	en	0.8248252868652344	0.810224175453186	0.8402112722396851
21	fr	en	0.6929826736450195	0.6873475313186646	0.6989111304283142
22	km	en	0.6976104974746704	0.6948323845863342	0.700517475605011
23	zh	en	0.7270804047584534	0.7141372561454773	0.7405608296394348
24	hi	en	0.8166095614433289	0.8040997982025146	0.8297680616378784
25	ti-er	en	0.6006405353546143	0.6013375520706177	0.5998570919036865
26	ln	en	0.607528030872345	0.6083819270133972	0.60686194896698
27	ti	en	0.6667631268501282	0.6686403155326843	0.6649033427238464
