	sourceLang	targetLang	F1	precision	recall	baseline?
0	en	am	0.9502577781677246	0.9522902965545654	0.9489179253578186	baseline
1	en	ar	0.8841047883033752	0.890601396560669	0.8780106902122498	baseline
2	en	bn	0.8474584221839905	0.845184862613678	0.8500674366950989	baseline
3	en	es-419	0.9379130005836487	0.9399442076683044	0.9360401630401611	baseline
4	en	fa	0.8778396248817444	0.8794154524803162	0.876518726348877	baseline
5	en	fr	0.8836949467658997	0.8831332921981812	0.8846316933631897	baseline
6	en	ha	0.7839630246162415	0.7885684967041016	0.7799552083015442	baseline
7	en	hi	0.8945010304450989	0.8918145298957825	0.8975059390068054	baseline
8	en	id	0.9324791431427002	0.9339295029640198	0.9312006235122681	baseline
9	en	km	0.8754563927650452	0.8673666715621948	0.884827733039856	baseline
10	en	ln	0.8480603098869324	0.8437356352806091	0.8526706695556641	baseline
11	en	mr	0.841711163520813	0.8439159989356995	0.839849591255188	baseline
12	en	ms	0.9283300042152405	0.9287148714065552	0.9281021952629089	baseline
13	en	my	0.7982089519500732	0.7983982563018799	0.7985410690307617	baseline
14	en	ne	0.8533810377120972	0.8528759479522705	0.8541795611381531	baseline
15	en	prs	0.8364677429199219	0.8427097797393799	0.830582320690155	baseline
16	en	ps	0.8471854329109192	0.8497708439826965	0.845031201839447	baseline
17	en	pt-BR	0.9362760186195374	0.937947690486908	0.9347528219223022	baseline
18	en	ru	0.8869296908378601	0.8915112614631653	0.8827727437019348	baseline
19	en	so	0.7808136940002441	0.778599202632904	0.7836799621582031	baseline
20	en	sw	0.8706045746803284	0.875455379486084	0.866045355796814	baseline
21	en	ta	0.8674319982528687	0.875322163105011	0.8600386381149292	baseline
22	en	ti	0.9413415193557739	0.9522061347961426	0.9315925240516663	baseline
23	en	ur	0.8490970134735107	0.8474196195602417	0.8510476350784302	baseline
24	en	zh	0.8929545879364014	0.8948996663093567	0.8916601538658142	baseline
25	en	zu	0.8417582511901855	0.8411644101142883	0.8425328135490417	baseline
26	en	ti-er	0.936551034450531	0.9488071799278259	0.9256011843681335	baseline
27	en	ti	0.9408041834831238	0.9528013467788696	0.9300061464309692	baseline
