	sourceLang	targetLang	F1	precision	recall	baseline?
0	en	am	0.9412331581115723	0.9394741654396057	0.9438320994377136	baseline
1	en	ar	0.8791042566299438	0.8851907253265381	0.8734223246574402	baseline
2	en	bn	0.86252361536026	0.8624585866928101	0.8629130721092224	baseline
3	en	ckb	0.8642688989639282	0.8644059300422668	0.8651604056358337	baseline
4	en	es-419	0.934927761554718	0.9360367655754089	0.9340402483940125	baseline
5	en	fa	0.8819828033447266	0.8834079504013062	0.8808656334877014	baseline
6	en	fr	0.8464754223823547	0.8387590646743774	0.8549702167510986	baseline
7	en	ha	0.8287180066108704	0.8277990221977234	0.8300297260284424	baseline
8	en	hi	0.9023464918136597	0.9007328152656555	0.9042468667030334	baseline
9	en	id	0.930810809135437	0.9316459894180298	0.9301759004592896	baseline
10	en	km	0.9480183720588684	0.94102543592453	0.9567140340805054	baseline
11	en	lg	0.8111701011657715	0.8107990026473999	0.8119227886199951	baseline
12	en	ln	0.7924132347106934	0.789550244808197	0.7955920696258545	baseline
13	en	mr	0.8412683606147766	0.8445780277252197	0.8383257389068604	baseline
14	en	ms	0.9285838007926941	0.9279816150665283	0.929388701915741	baseline
15	en	my	0.8287623524665833	0.8398566842079163	0.8185782432556152	baseline
16	en	ne	0.8803983926773071	0.8818596601486206	0.8792252540588379	baseline
17	en	om	0.7963124513626099	0.792991042137146	0.8000507354736328	baseline
18	en	ps	0.8517134785652161	0.8523609638214111	0.8515142798423767	baseline
19	en	pt-BR	0.9339461326599121	0.9353654980659485	0.9327597618103027	baseline
20	en	ru	0.8872514367103577	0.8934268951416016	0.8815584778785706	baseline
21	en	so	0.7543081641197205	0.7545901536941528	0.7547073364257812	baseline
22	en	sw	0.87197345495224	0.8747073411941528	0.8695318698883057	baseline
23	en	ta	0.858849287033081	0.8704034686088562	0.8481684923171997	baseline
24	en	ti	0.9476635456085205	0.9532343745231628	0.943170428276062	baseline
25	en	tl	0.9017161726951599	0.9039589166641235	0.8997517824172974	baseline
26	en	ur	0.8623073101043701	0.8619505167007446	0.8629541397094727	baseline
27	en	zh	0.8970521688461304	0.9003095030784607	0.8943719863891602	baseline
28	en	zu	0.8403170108795166	0.8397244811058044	0.841127872467041	baseline
29	en	ti-er	0.9430933594703674	0.9502819776535034	0.9372019171714783	baseline
30	en	ti	0.9463880062103271	0.9533085823059082	0.940604567527771	baseline
